county_state,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating,median_acute_care_rating,pct_acute_care
"TULARE, CA",3,3.0,2.0,2.0,100.0
"SANGAMON, IL",3,2.0,2.5,2.5,66.67
"NATRONA, WY",3,2.0,3.0,3.0,66.67
"PLACER, CA",3,3.0,4.0,4.0,100.0
"CLACKAMAS, OR",3,3.0,3.33,3.0,100.0
"STEUBEN, NY",3,3.0,3.33,3.0,100.0
"OKANOGAN, WA",3,,,,
"GALVESTON, TX",3,1.0,2.0,2.0,33.33
"HERNANDO, FL",3,2.0,1.5,1.5,66.67
"ASCENSION, LA",3,1.0,4.0,4.0,33.33
"COLLIER, FL",3,2.0,3.0,3.0,66.67
"RENSSELAER, NY",3,3.0,2.0,2.0,100.0
"GILA, AZ",3,1.0,,,33.33
"CREEK, OK",3,1.0,3.0,3.0,33.33
"RUTHERFORD, TN",3,3.0,1.5,1.5,100.0
"TAYLOR, TX",3,2.0,2.5,2.5,66.67
"RICHLAND, OH",3,2.0,3.0,3.0,66.67
"MADISON, AL",3,2.0,2.0,2.0,66.67
"RICHMOND, NY",3,2.0,1.0,1.0,66.67
"BARRON, WI",3,1.0,4.0,4.0,33.33
"BARNSTABLE, MA",3,2.0,4.5,4.5,66.67
"GREGG, TX",3,2.0,4.0,4.0,66.67
"GRAND FORKS, ND",3,1.0,2.0,2.0,33.33
"ROOSEVELT, MT",3,,,,
"AVOYELLES, LA",3,1.0,3.0,3.0,33.33
"WILL, IL",3,3.0,2.33,2.0,100.0
"GREENE, MO",3,2.0,4.0,4.0,66.67
"GRANT, WI",3,,,,
"COOS, NH",3,,,,
"COOS, OR",3,1.0,3.0,3.0,33.33
"GRAYSON, TX",3,3.0,3.33,3.0,100.0
"SAGINAW, MI",3,3.0,2.0,2.0,100.0
"MARATHON, WI",3,2.0,3.5,3.5,66.67
"BARTON, KS",3,1.0,3.0,3.0,33.33
"WINDHAM, VT",3,1.0,3.0,3.0,33.33
"POTTER, TX",3,3.0,3.0,3.0,100.0
"BELMONT, OH",3,2.0,2.0,2.0,66.67
"TOM GREEN, TX",3,2.0,4.0,4.0,66.67
"TOLLAND, CT",3,2.0,3.0,3.0,66.67
"WINNEBAGO, IL",3,3.0,2.33,2.0,100.0
"NAPA, CA",3,2.0,3.0,3.0,66.67
"CHEMUNG, NY",3,2.0,2.5,2.5,66.67
"PUEBLO, CO",3,2.0,3.0,3.0,66.67
"CLEVELAND, OK",3,1.0,3.0,3.0,33.33
"CUMBERLAND, PA",3,2.0,3.5,3.5,66.67
"GENESEE, MI",3,3.0,1.33,1.0,100.0
"GARLAND, AR",3,3.0,2.0,2.0,100.0
"MARIN, CA",3,3.0,3.33,3.0,100.0
"OKALOOSA, FL",3,3.0,3.0,3.0,100.0
"COBB, GA",3,2.0,3.0,3.0,66.67
"RANDOLPH, IL",3,,,,
"HANCOCK, ME",3,1.0,4.0,4.0,33.33
"BAY, FL",3,2.0,2.5,2.5,66.67
"CROW WING, MN",3,1.0,4.0,4.0,33.33
"ATLANTIC, NJ",3,2.0,3.5,3.5,66.67
"MONROE, FL",3,1.0,3.0,3.0,33.33
"MADISON, TN",3,1.0,1.0,1.0,33.33
"BINGHAM, ID",3,1.0,,,33.33
"ST. CROIX, WI",3,,,,
"BRAZORIA, TX",3,2.0,3.0,3.0,66.67
"YAVAPAI, AZ",3,2.0,4.0,4.0,66.67
"JOHNSON, TX",3,3.0,4.0,4.0,100.0
"NIAGARA, NY",3,3.0,1.67,1.0,100.0
"ST. CLAIR, MI",3,3.0,3.67,4.0,100.0
"DURHAM, NC",3,3.0,4.5,4.5,100.0
"ONTARIO, NY",3,3.0,1.67,2.0,100.0
"ST. FRANCOIS, MO",3,1.0,5.0,5.0,33.33
"VIRGINIA BEACH CITY, VA",3,2.0,3.5,3.5,66.67
"SEBASTIAN, AR",3,2.0,2.0,2.0,66.67
"MENDOCINO, CA",3,1.0,3.0,3.0,33.33
"JEFFERSON, TX",3,3.0,2.67,3.0,100.0
"FLATHEAD, MT",3,2.0,4.5,4.5,66.67
"WARREN, KY",3,2.0,2.0,2.0,66.67
"JEFFERSON, NY",3,1.0,3.0,3.0,33.33
"VANDERBURGH, IN",3,2.0,3.0,3.0,66.67
"WRIGHT, MN",3,1.0,4.0,4.0,33.33
"BRADFORD, PA",3,2.0,2.0,2.0,66.67
"BROOME, NY",3,2.0,2.0,2.0,66.67
"SENECA, OH",3,1.0,5.0,5.0,33.33
"KENAI PENINSULA, AK",3,1.0,3.0,3.0,33.33
"MCPHERSON, KS",3,2.0,3.5,3.5,66.67
"KENNEBEC, ME",3,2.0,4.0,4.0,66.67
"SHAWNEE, KS",3,2.0,4.0,4.0,66.67
"KAUAI, HI",3,1.0,4.0,4.0,33.33
"OTTAWA, MI",3,3.0,4.33,4.0,100.0
"SOMERSET, PA",3,2.0,3.5,3.5,66.67
"OTTER TAIL, MN",3,1.0,4.0,4.0,33.33
"IREDELL, NC",3,3.0,2.67,3.0,100.0
"KALAMAZOO, MI",3,2.0,3.5,3.5,66.67
"SOMERSET, NJ",3,1.0,3.0,3.0,33.33
"DUBUQUE, IA",3,2.0,3.5,3.5,66.67
"OSCEOLA, FL",3,3.0,1.67,1.0,100.0
"CANYON, ID",3,3.0,4.0,4.0,100.0
"FAULKNER, AR",3,2.0,3.5,3.5,66.67
"ETOWAH, AL",3,2.0,3.0,3.0,66.67
"FLOYD, KY",3,1.0,1.0,1.0,33.33
"FLORENCE, SC",3,3.0,2.33,2.0,100.0
"CASS, ND",3,2.0,3.5,3.5,66.67
"BROWN, MN",3,,,,
"CHARLOTTE, FL",3,3.0,2.0,2.0,100.0
"BRUNSWICK, NC",3,1.0,3.0,3.0,33.33
"SKAGIT, WA",3,2.0,2.5,2.5,66.67
"ITASCA, MN",3,1.0,4.0,4.0,33.33
"DEFIANCE, OH",3,1.0,5.0,5.0,33.33
"ESCAMBIA, FL",3,3.0,3.0,3.0,100.0
"BLAIR, PA",3,2.0,3.0,3.0,66.67
"CHAMPAIGN, IL",3,2.0,2.5,2.5,66.67
"LEXINGTON, SC",3,2.0,3.5,3.5,66.67
"ST. LUCIE, FL",3,2.0,1.0,1.0,66.67
"PETERSBURG CITY, VA",3,2.0,1.0,1.0,66.67
"JACKSON, OR",3,3.0,4.33,4.0,100.0
"JAMES CITY, VA",3,2.0,4.5,4.5,66.67
"JASPER, MO",3,2.0,2.5,2.5,66.67
"BLACK HAWK, IA",3,3.0,2.33,2.0,100.0
"EAU CLAIRE, WI",3,3.0,4.67,5.0,100.0
"ELKHART, IN",3,2.0,4.0,4.0,66.67
"LAFOURCHE, LA",3,1.0,4.0,4.0,33.33
"LEON, FL",3,2.0,2.5,2.5,66.67
"OLMSTED, MN",3,2.0,4.5,4.5,66.67
